
> trainhub@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.9 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.107:3000
- Environments: .env
✓ Ready in 757ms
- Experiments (use with caution):
  · cpus: 2

 GET /trainer/quizzes 200 in 31ms (next.js: 4ms, proxy.ts: 6ms, application-code: 21ms)
 GET /trainer/quizzes 200 in 29ms (next.js: 3ms, proxy.ts: 5ms, application-code: 21ms)
 GET /trainer/quizzes 200 in 42ms (next.js: 3ms, proxy.ts: 6ms, application-code: 33ms)
 GET /trainer/quizzes 200 in 32ms (next.js: 3ms, proxy.ts: 5ms, application-code: 24ms)
 GET /trainer/quizzes 200 in 28ms (next.js: 3ms, proxy.ts: 5ms, application-code: 20ms)
 GET /trainer/quizzes 200 in 36ms (next.js: 3ms, proxy.ts: 7ms, application-code: 26ms)
 GET /trainer/quizzes 200 in 45ms (next.js: 3ms, proxy.ts: 6ms, application-code: 36ms)
 GET /trainer/quizzes 200 in 29ms (next.js: 3ms, proxy.ts: 5ms, application-code: 21ms)
 GET /trainer/quizzes 200 in 34ms (next.js: 4ms, proxy.ts: 7ms, application-code: 23ms)
 GET /trainer/quizzes 200 in 33ms (next.js: 3ms, proxy.ts: 5ms, application-code: 24ms)
 GET /trainer/quizzes 200 in 29ms (next.js: 3ms, proxy.ts: 5ms, application-code: 21ms)
 GET /trainer/quizzes 200 in 37ms (next.js: 4ms, proxy.ts: 6ms, application-code: 26ms)
 GET /trainer/quizzes 200 in 29ms (next.js: 3ms, proxy.ts: 5ms, application-code: 21ms)
 GET /trainer/quizzes 200 in 30ms (next.js: 4ms, proxy.ts: 6ms, application-code: 20ms)
 GET /trainer/quizzes 200 in 33ms (next.js: 4ms, proxy.ts: 7ms, application-code: 22ms)
 GET /trainer/quizzes 200 in 31ms (next.js: 3ms, proxy.ts: 6ms, application-code: 22ms)
 GET /trainer/quizzes 200 in 28ms (next.js: 3ms, proxy.ts: 5ms, application-code: 20ms)
 GET /trainer/quizzes 200 in 33ms (next.js: 4ms, proxy.ts: 6ms, application-code: 24ms)
 GET /trainer/quizzes 200 in 29ms (next.js: 3ms, proxy.ts: 5ms, application-code: 21ms)
 GET /trainer/quizzes 200 in 31ms (next.js: 5ms, proxy.ts: 5ms, application-code: 22ms)
 GET /trainer/quizzes 200 in 32ms (next.js: 3ms, proxy.ts: 6ms, application-code: 24ms)
 GET /trainer/quizzes 200 in 24ms (next.js: 3ms, proxy.ts: 4ms, application-code: 17ms)
 GET /api/notifications 200 in 28ms (next.js: 3ms, proxy.ts: 7ms, application-code: 18ms)
 GET /api/trainer/actions 200 in 42ms (next.js: 12ms, proxy.ts: 7ms, application-code: 22ms)
